Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,source_file,Unnamed: 0,press_alt,ias,hdg,gps_gs,gps_trk,OAT (deg F),Oil Temp (deg F),Thermocouple 1 (deg F),Thermocouple 2 (deg F),Thermocouple 3 (deg F),Thermocouple 4 (deg F),CHT 4 (deg F),EGT 4 (deg F),CHT 3 (deg F),EGT 3 (deg F),CHT 2 (deg F),EGT 2 (deg F),CHT 1 (deg F),EGT 1 (deg F),Thermocouple 13 (deg F),Thermocouple 14 (deg F),OIL TEMPERATURE (deg F),RPM,AVG_CHT,CHT_OAT_Ratio,OIL_OAT_Ratio,Fuel Flow Integral,Distance Traveled,Max CHT,Engine Run,Flight ID,efficiency
10.06,1.0,8.0,2026-02-01 00:45:29,37.08158,-121.59959,322.0,0.0,231.1,-12.6,,,,,0.0,10.7,-2.2,52.9,0.0,129.0,0.0,-0.04,1.0,,-79.0,21.0,0.0,30.44,863.0,,,241.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,17.0,0.0,0.0,30.2,0.0,,0.0,0.8,,,37.4,0.0,0.0,-0.6,0.9,0.3,,,,,18.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,,,-6.0,254.4,,0.8,-8.0,4.998,,,0.653,0.806,0.0,17.3,,,,,,2026-02-01-N890GF-SN35347-17.4.0.23677-FIRST-USER_LOG_DATA-PART_02.csv,,,,,,,69.8,62.6,,,,,64.4,66.2,64.4,66.2,66.2,66.2,66.2,66.2,,,63.14,0.0,65.30000000000001,0.9355300859598856,0.8968481375358167,0.0,0.0,419.0,True,2026-02-01 00:45:19 - Flight 20,
11.06,1.0,8.0,2026-02-01 00:45:30,37.08158,-121.59959,323.0,0.0,231.1,-12.6,,,,,0.0,10.7,-2.2,52.9,0.0,129.0,-0.0,-0.04,1.0,,-69.0,21.0,0.0,30.44,863.0,,,241.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,17.0,0.0,0.0,30.2,0.0,,0.0,0.8,,,37.4,0.0,0.0,-0.6,0.9,0.3,,,,,18.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,,,-6.0,254.3,,0.8,-8.0,4.998,,,0.654,0.801,0.0,17.3,,,,,,2026-02-01-N890GF-SN35347-17.4.0.23677-FIRST-USER_LOG_DATA-PART_02.csv,,,,,,,69.8,62.6,,,,,64.4,66.2,64.4,66.2,66.2,66.2,66.2,66.2,,,63.14,0.0,65.30000000000001,0.9355300859598856,0.8968481375358167,0.0,0.0,419.0,True,2026-02-01 00:45:19 - Flight 20,
12.06,1.0,8.0,2026-02-01 00:45:31,37.08158,-121.59959,325.0,0.0,231.1,-12.6,,,,,0.0,10.7,-2.2,52.9,0.0,128.0,-0.0,-0.04,1.0,,-41.0,21.0,0.0,30.44,863.0,,,241.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,17.0,0.0,0.0,30.2,0.0,,0.0,0.8,,,37.4,0.0,0.0,-0.6,0.9,0.3,,,,,18.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,,,-6.0,254.3,,0.8,-8.0,4.998,,,0.654,0.797,0.0,17.3,,,,,,2026-02-01-N890GF-SN35347-17.4.0.23677-FIRST-USER_LOG_DATA-PART_02.csv,,,,,,,69.8,62.6,,,,,64.4,66.2,64.4,66.2,66.2,66.2,66.2,66.2,,,63.14,0.0,65.30000000000001,0.9355300859598856,0.8968481375358167,0.0,0.0,419.0,True,2026-02-01 00:45:19 - Flight 20,
13.06,1.0,8.0,2026-02-01 00:45:32,37.08159,-121.5996,326.0,0.0,231.1,-12.6,,,,,0.0,10.7,-2.2,52.8,0.0,127.0,-0.0,-0.04,1.0,,-58.0,21.0,0.0,30.44,861.0,,,241.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,17.0,0.0,0.0,30.2,0.0,,0.0,0.8,,,37.4,0.0,0.0,-0.6,0.9,0.3,,,,,18.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,,,-6.0,254.3,,0.8,-8.0,4.998,,,0.654,0.796,0.0,17.3,,,,,,2026-02-01-N890GF-SN35347-17.4.0.23677-FIRST-USER_LOG_DATA-PART_02.csv,,,,,,,69.8,62.6,,,,,64.4,66.2,64.4,66.2,66.2,66.2,66.2,66.2,,,63.14,0.0,65.30000000000001,0.9355300859598856,0.8968481375358167,0.0,0.0,419.0,True,2026-02-01 00:45:19 - Flight 20,
14.06,1.0,8.0,2026-02-01 00:45:33,37.08159,-121.5996,327.0,0.1,231.1,-12.6,,,,,0.0,10.7,-2.3,52.8,0.0,127.0,-0.0,-0.03,1.0,,-47.0,21.0,0.0,30.44,861.0,,,241.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,17.0,0.0,0.0,30.2,0.0,,0.0,0.8,,,37.4,0.0,0.0,-0.6,0.9,0.3,,,,,18.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,,,-6.0,254.3,,0.8,-8.0,4.998,,,0.653,0.795,0.0,17.3,,,,,,2026-02-01-N890GF-SN35347-17.4.0.23677-FIRST-USER_LOG_DATA-PART_02.csv,,,,,,,69.8,62.6,,,,,64.4,66.2,64.4,66.2,66.2,66.2,66.2,66.2,,,63.14,0.0,65.30000000000001,0.9355300859598856,0.8968481375358167,0.0,0.08433333333333333,419.0,True,2026-02-01 00:45:19 - Flight 20,
15.06,1.0,8.0,2026-02-01 00:45:34,37.08159,-121.5996,329.0,0.1,231.1,-12.6,,,,,0.0,10.7,-2.2,52.9,0.0,126.0,0.0,-0.04,1.0,,-47.0,21.0,0.0,30.44,861.0,,,241.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,17.0,0.0,0.0,30.2,0.0,,0.0,0.8,,,37.4,0.0,0.0,-0.6,0.9,0.3,,,,,18.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,,,-6.0,254.3,,0.8,-8.0,4.998,,,0.656,0.793,0.0,17.3,,,,,,2026-02-01-N890GF-SN35347-17.4.0.23677-FIRST-USER_LOG_DATA-PART_02.csv,,,,,,,69.8,62.6,,,,,64.4,66.2,64.4,66.2,66.2,66.2,66.2,66.2,,,63.14,0.0,65.30000000000001,0.9355300859598856,0.8968481375358167,0.0,0.253,419.0,True,2026-02-01 00:45:19 - Flight 20,
16.06,1.0,8.0,2026-02-01 00:45:35,37.08159,-121.5996,330.0,0.0,231.1,-12.6,,,,,0.0,10.7,-2.2,52.8,0.0,126.0,-0.0,-0.04,1.0,,-25.0,21.0,0.0,30.44,859.0,,,241.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,17.0,0.0,0.0,30.2,0.0,,0.0,0.8,,,37.4,0.0,0.0,-0.6,0.9,0.3,,,,,18.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,,,-6.0,254.3,,0.8,-8.0,4.998,,,0.656,0.792,0.0,17.3,,,,,,2026-02-01-N890GF-SN35347-17.4.0.23677-FIRST-USER_LOG_DATA-PART_02.csv,,,,,,,69.8,62.6,,,,,64.4,66.2,64.4,66.2,66.2,66.2,66.2,66.2,,,63.14,0.0,65.30000000000001,0.9355300859598856,0.8968481375358167,0.0,0.33733333333333315,419.0,True,2026-02-01 00:45:19 - Flight 20,
17.06,1.0,8.0,2026-02-01 00:45:36,37.08159,-121.59961,331.0,0.0,231.1,-12.6,,,,,0.0,10.7,-2.2,52.9,0.0,126.0,-0.0,-0.04,1.0,,-2.0,21.0,0.0,30.44,860.0,,,241.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,17.0,0.0,0.0,30.2,0.0,,0.0,0.8,,,37.4,0.0,0.0,-0.6,0.9,0.3,,,,,18.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,,,-6.0,254.3,,0.8,-8.0,4.998,,,0.654,0.793,0.0,17.3,,,,,,2026-02-01-N890GF-SN35347-17.4.0.23677-FIRST-USER_LOG_DATA-PART_02.csv,,,,,,,69.8,62.6,,,,,64.4,66.2,64.4,66.2,66.2,66.2,66.2,66.2,,,63.14,0.0,65.30000000000001,0.9355300859598856,0.8968481375358167,0.0,0.33733333333333315,419.0,True,2026-02-01 00:45:19 - Flight 20,
18.06,1.0,8.0,2026-02-01 00:45:37,37.08159,-121.59961,331.0,0.0,231.1,-12.6,,,,,0.0,10.7,-2.2,52.9,0.0,126.0,-0.0,-0.04,1.0,,6.0,21.0,0.0,30.44,860.0,,,241.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,17.0,0.0,0.0,30.2,0.0,,0.0,0.8,,,37.4,0.0,0.0,-0.6,0.9,0.3,,,,,18.0,19.0,18.0,19.0,18.0,19.0,19.0,19.0,,,-6.0,254.3,,0.8,-8.0,4.998,,,0.656,0.792,0.0,17.3,,,,,,2026-02-01-N890GF-SN35347-17.4.0.23677-FIRST-USER_LOG_DATA-PART_02.csv,,,,,,,69.8,62.6,,,,,64.4,66.2,64.4,66.2,64.4,66.2,66.2,66.2,,,63.14,0.0,64.85000000000001,0.9290830945558741,0.8968481375358167,0.0,0.33733333333333315,419.0,True,2026-02-01 00:45:19 - Flight 20,
19.06,1.0,8.0,2026-02-01 00:45:38,37.08159,-121.59961,332.0,0.2,231.1,-12.6,,,,,0.0,10.7,-2.2,52.9,0.0,126.0,-0.0,-0.04,1.0,,-15.0,21.0,0.0,30.44,860.0,,,241.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,17.0,0.0,0.0,30.2,0.0,,0.0,0.8,,,37.4,0.0,0.0,-0.6,0.9,0.3,,,,,18.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,,,-6.0,254.3,,0.8,-8.0,4.998,,,0.654,0.792,0.0,17.3,,,,,,2026-02-01-N890GF-SN35347-17.4.0.23677-FIRST-USER_LOG_DATA-PART_02.csv,,,,,,,69.8,62.6,,,,,64.4,66.2,64.4,66.2,66.2,66.2,66.2,66.2,,,63.14,0.0,65.30000000000001,0.9355300859598856,0.8968481375358167,0.0,0.5059999999999998,419.0,True,2026-02-01 00:45:19 - Flight 20,
20.06,1.0,8.0,2026-02-01 00:45:39,37.08159,-121.59961,333.0,0.0,231.1,-12.6,,,,,0.0,10.7,-2.2,52.9,0.0,125.0,-0.0,-0.04,1.0,,-18.0,21.0,0.0,30.44,859.0,,,241.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,17.0,0.0,0.0,30.2,0.0,,0.0,0.8,,,37.4,0.0,0.0,-0.6,0.9,0.3,,,,,18.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,,,-6.0,254.3,,0.8,-8.0,4.998,,,0.654,0.791,0.0,17.3,,,,,,2026-02-01-N890GF-SN35347-17.4.0.23677-FIRST-USER_LOG_DATA-PART_02.csv,,,,,,,69.8,62.6,,,,,64.4,66.2,64.4,66.2,66.2,66.2,66.2,66.2,,,63.14,0.0,65.30000000000001,0.9355300859598856,0.8968481375358167,0.0,0.6746666666666665,419.0,True,2026-02-01 00:45:19 - Flight 20,
21.06,1.0,8.0,2026-02-01 00:45:40,37.08159,-121.59961,333.0,0.0,231.1,-12.6,,,,,0.0,10.7,-2.2,52.9,0.0,125.0,-0.0,-0.04,1.0,,-7.0,21.0,0.0,30.44,859.0,,,241.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,17.0,0.0,0.0,30.2,0.0,,0.0,0.8,,,37.4,0.0,0.0,-0.6,0.9,0.3,,,,,18.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,,,-6.0,254.3,,0.8,-8.0,4.998,,,0.654,0.791,0.0,17.3,,,,,,2026-02-01-N890GF-SN35347-17.4.0.23677-FIRST-USER_LOG_DATA-PART_02.csv,,,,,,,69.8,62.6,,,,,64.4,66.2,64.4,66.2,66.2,66.2,66.2,66.2,,,63.14,0.0,65.30000000000001,0.9355300859598856,0.8968481375358167,0.0,0.6746666666666665,419.0,True,2026-02-01 00:45:19 - Flight 20,
22.06,1.0,8.0,2026-02-01 00:45:41,37.08159,-121.59961,333.0,0.0,231.1,-12.6,,,,,0.0,10.7,-2.2,52.9,0.0,125.0,0.0,-0.04,1.0,,-22.0,21.0,0.0,30.44,859.0,,,241.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,17.0,0.0,0.0,30.2,0.0,,0.0,0.8,,,37.4,0.0,0.0,-0.6,0.9,0.3,,,,,18.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,,,-6.0,254.3,,0.8,-8.0,4.998,,,0.656,0.786,0.0,17.3,,,,,,2026-02-01-N890GF-SN35347-17.4.0.23677-FIRST-USER_LOG_DATA-PART_02.csv,,,,,,,69.8,62.6,,,,,64.4,66.2,64.4,66.2,66.2,66.2,66.2,66.2,,,63.14,0.0,65.30000000000001,0.9355300859598856,0.8968481375358167,0.0,0.6746666666666665,419.0,True,2026-02-01 00:45:19 - Flight 20,
23.06,1.0,8.0,2026-02-01 00:45:42,37.08159,-121.59961,334.0,0.0,231.1,-12.6,,,,,0.0,10.7,-2.2,52.9,0.0,124.0,-0.0,-0.04,1.0,,-36.0,21.0,0.0,30.44,867.0,,,241.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,17.0,0.0,0.0,30.2,0.0,,0.0,0.8,,,37.4,0.0,0.0,-0.6,0.9,0.3,,,,,18.0,19.0,18.0,19.0,18.0,19.0,19.0,19.0,,,-6.0,254.3,,0.8,-8.0,4.998,,,0.654,0.787,0.0,17.3,,,,,,2026-02-01-N890GF-SN35347-17.4.0.23677-FIRST-USER_LOG_DATA-PART_02.csv,,,,,,,69.8,62.6,,,,,64.4,66.2,64.4,66.2,64.4,66.2,66.2,66.2,,,63.14,0.0,64.85000000000001,0.9290830945558741,0.8968481375358167,0.0,0.6746666666666665,419.0,True,2026-02-01 00:45:19 - Flight 20,
